treatment	pieces	gender	slice_cond	genderd	taste_general	taste_first	sat_first	enj_first	taste_middle	sat_middle	enj_middle	taste_last	sat_last	enj_last	ate_more_pizza	was_hungry	am_hungry	feel_guilty	physic_uncomf	overate	ate_more_general	felt_rushed	mmff	salad	calories	mixedgroup	male_1	group	id
2	2	1	2	1	8	8	7	8				7	7	7	2	6	2	2	1	2	3	1	1	7.7	600	1	0	4	1
2	2	2	2	0	6	6	6					5	5	5	1	6	1	1	1	1	1	1	3	3.3	500	1		2	2
2	5	1		1	9	9	9	9	9	9	9	9	9	9	9	5	1	2	2	3	5	1	1	3.2	1000	1	1	2	3
2		2		0												6	2	3	2	2	3	1	3			1		2	4
1	4	1		1	9	9	9	9	8	9	9	9	9	9	9	7	1	6	5	5	6	1		1.8	300			1	5
1	3	2	3	0	9	9	9	9	9	9	9	9	9	9	8	9	1	3	1	2	5	1	3	5.5		1		2	6
1	7	1		1	9	9	8	8	8	8	8	8	8	8	8	8	5	3	5	6	7	1	1	6.1		1	1	2	7
2	0	1		1												7	1	8	3	7	7	1	1	7.1	0	1	0	5	8
2					9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9						1	9
2	1	2	1	0	9	9																	3	1.8	300	1		5	10
2	1		1		9	9	9	9							2	5	1	1	1	1	1	1		3.5	500				11
2	1	2	1	0	4	4	4	4							1	4	2	1	1	1	1	1	4	3.5	500	0		4	12
2	2	2	2	0	6	6	5	5	6	5	5	6	5	5	2	8	2	2	1	1	1	1		9.4	500			2	13
2	2	2	2	0	8	8	8	8				8	8	8	1	8	1	2	2	2	2	2		7.7	500			2	14
2	2	2	2	0	8	8	8	8				7	7	7	8	8	2	2	2	2	2	2	3	6.6	400	1		4	15
2	1	1	1	1	7	7	7	7							1	7	1	1	1	1	1	1	1	7.9	1000	1	1	4	16
2	2	1	2	1	7	7	7	7				7	7	7	3	5	3	3	1	1	1	1	2	2.2		0		2	17
2	2	2	2	0	7	7	7	7	7	7	7	7	7	7	5	7	1	1	1	1	1	1	3	3.2		1		2	18
2	2	1	2	1	8	8	8	8	8	8	8	8	8	8	1	5	1	1	1	1	1	1	1	5.2		1	1	2	19
2	1	1	1	1	8	8	7	7							1	6	2	3	2	2	2	5	2	3.3	200	0		4	20
2	0	1		1												7	1	1	1	1	1	1	2	1	0	0		4	21
2	1	1	1	1	6	6	9	9								1	1	1	1	1	1	1	2		400	0		4	22
2	1	1	1	1	8	8	8	8							2	2	2	2	2	2	2	2	2	1.2	300	0		4	23
2	5	1		1	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	2		500	0		4	24
2	0	2		0												9		1	1				3	8	400	1		4	25
2	1	2	1	0	8	8	8	8							6	6	1	5	3	3	3	2	3	3	300	1		3	26
2	0	2		0												9	1	1	1	1	1	1	3	1	0	1		4	27
1	3	1	3	1	7	8	8	8	7	7	7	6	5	5	8	8	1	3	3	6	8	1	1	7.9	450	1	0	2	28
1	3	1	3	1	5	5	5	7	4	4	4	4	4	4	3	5	1	1	1	1	1	1	2	0	30	0		2	29
1	2	1	2	1	6	6	6	6					6		6	4	2	2	2	5	5	2	1	5.5	0	1	1	2	30
1	2	1	2	1	8	8	7	7	8	8	8	8	8	8	5	8	3	6	3	7	6	1	1	12.3	200	1	1	2	31
1		2		0												8	2	3	3	3	6	1	3	5.5		1		2	32
1	4	2		0	6	7	6	6	4	4	4	4	4	4	6	4	4	1	1	1	5	5		4.9	100			2	33
1					9	9	9	9	9	9	9	9	9	9	9		7	7	7	7	7	7		2.7					34
1					5	7	5	3	5	5	5	4	4	4	6	6	2	4		2	2	2		1	250				35
1	1	2	1	0	8	8	8	8	7	7	7	6	6	6	4	5	1	1	1	1	1	1	3	1.1	1200	1		2	36
1	5	1		1	8	8	8	8	8	8	8	8	8	8	8	9	1	6	9	9	9	2	1	0.9	200	1	1	2	37
1	0	2		0												5	1	1	1	1	7	1						2	38
1	1	1	1	1	7	7	9	9							1	7	1	1	1	1	1	1	1	0	80	1	1	2	39
1	0	1		1	5											4	1	5	1	2	4	1	2	0	0	0		2	40
1	1	1	1	1	7	7	7	7							2	8	1	6	1	7	7	7	2	5.4	240	0		2	41
1	1	2	1	0	7	8	8	8							1	8	1	1	2	1	2	2	4		50	0		2	42
1	1	2	1	0	5	5	4	4							1		1	1	8	1	1	1	4		200	0		2	43
2	3	1	3	1	9	9	9	9	8	8	8	7	7	7	8	9	1	6	3	8	9	7	1	5.5	200	1	1	2	44
2	2	2	2	0	9	9	9	9	9	9	9	9	9	9	7	7		1	1	1	6	1	3	7.9	250	1		2	45
2	3	1	3	1	9	9	9	9	9	9	9	9	9	9	9	9	1	3	2	2	2	1		7.5					46
2	1	2	1	0	6	6	6	6							7	5	3	4	4	3	3	7	3	7.8	350	1		2	47
2	2	1	2	1	9	9	9	9	9	9	9				9	9	1	5	5	5	5	1	2	0		0		2	48
2	3	1	3	1	7	7	7	7	8	7	7	7	7	7	8	4	7	5	7	8	8	8		3.9				1	49
1	3	1	3	1	8	8	8	8	8	8	8	8	8	8	7	9	1	5	1	3	3	1	1	3.4	650	1	0	5	50
1	1	2	1	0	9	9	9	9								9	1	1	1	1	1	1	3	1.1	800	1		5	51
1	2	1	2	1	4	4	6	5				4	4	4	6	8	1	3	1	5	5	5			425			1	52
1					7	7	7	7	7	7	7	4	4	4	8	9	1	5	4	7	9	1			650				53
1	0	2		0												8	2	2	2	2	2	2	3			1		2	54
1	2	1	2	1	5	5	5	5	7	6	7	5	4	4	6	6	3	4	3	3	4	2	1		120	1	1	2	55
1	2	1	2	1	8	8	8	8	8			8	8	8	5	7	1	1	1	1	3	1	1	5.5	500	1	0	3	56
1	1.5	2		0	7	7	7	7	7	7	7	7	7	7	1	5		1	1	1	1	1	3	7.9	450	1		3	57
2	4	1		1				7			7			7		9		8			9		1	9.4	600	1	1	3	58
1	2	2	2	0	7	4	4	4								8	3	3	3	3	3	3	3	5.5	150	1		5	59
1	1	1	1	1	7	7	7	7								5	1	1	1	1	1	1	1	5.3	200	1	0	5	60
1	1	1	1	1	8	8	8	8							5	7	1	3	4	3	8	1	1	0.9	150	1	0	5	61
2	1	2	1	0	7	7	7	7							1	5	1	1	1	1	1	1	3		375	1		3	62
2	2	1	2	1	8	8	8	8	7	7	7				7	7	1	1	2	1	1	1	1		700	1	1	3	63
2	1	2	1	0	7	7	7	7							1	7	1	1	1	1	1	1	3		700	1		3	64
2	0	2		0									6			6	1	1	1	1	1	1	4		0	0		3	65
2	1	2	1	0	8	8	8	8							1	8	1	1	1	1	1	1	3	3.5	180	1		6	66
2	2	1	2	1	6	6	6	6				6	6	6	3	6	2	7	2	5	6	5	1	7.6	200	1	1	4	67
2	3	1	3	1	9	9	9	9	9	9	9	9	9	9	1	9	1	1	1	2	2	2	1	5.2	500	1	0	2	68
2	2	1	2	1	7	7	7	7				7	7	7	4	9	1	1	1	1	1	1	2	6.6	500	0		2	69
2	3	1	3	1	9	9	9	9	9	9	9	9	9	9	1	8	4	1	1	1	1	1	1		700	1	1	3	70
2	3	2	3	0	9	9	9	9	9	9	9	9	9	9	6	9	1	5	1	1	5	1	4			0		3	71
2	3	2	3	0	9	9	9	9	9	9	9	9	9	9	1	9	1	1	1	1	1	1		0				3	72
2	1	1	1	1	9	9	9	9							1	8	1	2	2	2	2	2	1		250	1	0	6	73
2	2	1	2	1	9	9	9	9				9	9	9	1	7	1	1	1	1	1	1	1	9.2	400	1	0	6	74
2	2.4	2		0												8	1	7	3	8	8	1	3		300	1		6	75
2	2	2	2	0	4	4	3	4				4	4	4	3	9	1	1	2	3	5	1	3	7.9	450	1		5	76
2	1	1	1	1	6	6	6	7							1	4	1	1	1	1	1	1	1	7.4	200	1	0	5	77
2	3	2	3	0	9	9	6	9	8	8	8	8	8	8	6	9	5	8	4	5	5	5	3	1	600	1		5	78
2	4	1		1	7	6	4	4	6	5	5	5	4	4	1	4	1	1	3	1	1	1	1	6.3	800	1	0	5	79
1	4	1		1	6	7			8			8			4	7	1	1	1	1	1	1		7.7	600		0	1	80
1	2	2	2	0	3	5	5	5	3	3	3	3	3	3	8	8	1	7	3	3	6	2	3	12.2	300	1		2	81
1	4	1		1	8	8			8			8			7	5	2	3	3	3		7	1	3.5	200	1	1	2	82
